"2: Najpogostejši vzrok smrti po spolu, statistiène regije, Slovenija, letno"

"SPOL";"STATISTIÈNA REGIJA";"2002 Vzrok smrti Bolezni dihal (J00-J99)";"2003 Vzrok smrti Bolezni dihal (J00-J99)";"2004 Vzrok smrti Bolezni dihal (J00-J99)";"2005 Vzrok smrti Bolezni dihal (J00-J99)";"2006 Vzrok smrti Bolezni dihal (J00-J99)";"2007 Vzrok smrti Bolezni dihal (J00-J99)";"2008 Vzrok smrti Bolezni dihal (J00-J99)";"2009 Vzrok smrti Bolezni dihal (J00-J99)";"2010 Vzrok smrti Bolezni dihal (J00-J99)";"2011 Vzrok smrti Bolezni dihal (J00-J99)";"2012 Vzrok smrti Bolezni dihal (J00-J99)";"2013 Vzrok smrti Bolezni dihal (J00-J99)";"2014 Vzrok smrti Bolezni dihal (J00-J99)";"2015 Vzrok smrti Bolezni dihal (J00-J99)";"2016 Vzrok smrti Bolezni dihal (J00-J99)";"2017 Vzrok smrti Bolezni dihal (J00-J99)";"2018 Vzrok smrti Bolezni dihal (J00-J99)";"2019 Vzrok smrti Bolezni dihal (J00-J99)";"2020 Vzrok smrti Bolezni dihal (J00-J99)";"2021 Vzrok smrti Bolezni dihal (J00-J99)";"2022 Vzrok smrti Bolezni dihal (J00-J99)"
"Spol - SKUPAJ";"SLOVENIJA";1406;1570;1460;1399;1238;1062;1144;1271;1122;1197;1386;1335;1152;1306;1266;1280;1079;1077;800;671;689
"Spol - SKUPAJ";"Pomurska";78;136;99;109;112;69;88;87;78;86;101;115;112;95;86;76;74;77;41;50;46
"Spol - SKUPAJ";"Podravska";267;245;255;210;180;163;183;179;139;195;205;224;168;212;240;222;211;206;151;124;133
"Spol - SKUPAJ";"Koroška";53;54;40;59;41;44;41;48;50;55;41;53;46;47;46;48;42;36;22;21;35
"Spol - SKUPAJ";"Savinjska";177;253;240;202;180;148;150;209;173;192;226;211;198;232;185;196;176;152;139;115;90
"Spol - SKUPAJ";"Zasavska";50;41;41;39;31;20;25;41;40;37;47;45;39;38;31;41;36;53;25;26;29
"Spol - SKUPAJ";"Posavska";28;36;43;50;49;42;32;34;40;37;36;35;39;38;51;42;35;30;21;23;20
"Spol - SKUPAJ";"Jugovzhodna Slovenija";105;107;107;91;57;66;77;103;82;80;106;97;68;93;81;94;67;52;60;51;39
"Spol - SKUPAJ";"Osrednjeslovenska";327;335;312;313;307;236;228;258;223;249;287;246;218;250;256;249;194;229;147;106;118
"Spol - SKUPAJ";"Gorenjska";100;141;118;113;89;99;113;115;95;92;125;109;99;108;94;112;102;89;81;59;64
"Spol - SKUPAJ";"Primorsko-notranjska";46;43;38;52;44;44;50;41;58;38;42;38;35;34;47;38;27;34;16;17;20
"Spol - SKUPAJ";"Goriška";93;92;81;98;74;61;82;71;77;62;87;90;69;73;80;84;57;64;56;44;51
"Spol - SKUPAJ";"Obalno-kraška";82;87;86;63;74;70;75;85;67;74;83;72;61;86;69;78;58;55;41;35;44
